theater_id,longitude,latitude,city,state,zipcode
1000,-93.24565,44.85466,Bloomington,MN,55425
1003,-76.512016,38.29697,California,MD,20619
1008,-121.96328,38.367649,Vacaville,CA,95688
1004,-86.642662,33.605438,Birmingham,AL,35235
1002,-111.89966,33.430729,Tempe,AZ,85281
1010,-85.76461,38.327175,Clarksville,IN,47129
1014,-119.7412,39.579536,Sparks,NV,89436
1012,-100.81213,46.829876,Bismarck,ND,58503
1009,-118.11414,33.760353,Long Beach,CA,90803
1013,-77.459908,37.667957,Glen Allen,VA,23059
1017,-100.50107,31.435648,San Angelo,TX,76904
1018,-117.83625,34.11612,Glendora,CA,91740
1015,-78.382912,40.490524,Altoona,PA,16602
1011,-118.3960826,33.9051385,El Segundo,CA,90245
1019,-121.65946,36.715809,Salinas,CA,93906
101,-117.674814,33.590599,Mission Viejo,CA,92691
1021,-122.51875,37.966579,San Rafael,CA,94901
1020,-116.28111,33.709164,La Quinta,CA,92253
1026,-72.583824,41.998211,Enfield,CT,06082
1023,-96.608055,33.685692,Sherman,TX,75092
1022,-77.532104,39.098255,Leesburg,VA,20176
1025,-85.990822,40.038788,Noblesville,IN,46060
1024,-97.783157,32.727791,Weatherford,TX,76087
1027,-97.429245,32.804398,Fort Worth,TX,76135
1028,-73.980011,40.754333,New York,NY,10017
1037,-84.758972,33.393749,Newnan,GA,30265
1029,-73.871277,41.310825,Mohegan Lake,NY,10547
1038,-97.080109,33.06926,Flower Mound,TX,75028
1030,-104.61839,38.329201,Pueblo,CO,81008
1034,-98.382164,40.933624,Grand Island,NE,68803
1031,-105.25302,40.01675,Boulder,CO,80301
1032,-96.972069,32.920174,Irving,TX,75063
1047,-88.359596,44.241451,Appleton,WI,54915
1035,-97.150681,32.598038,Mansfield,TX,76063
1036,-76.874817,42.153339,Elmira,NY,14903
102,-117.92427,34.071552,West Covina,CA,91790
1039,-76.831116,41.244911,Muncy,PA,17756
103,-117.92119,33.996811,City Of Industry,CA,91748
1043,-122.76134,47.058128,Lacey,WA,98516
1044,-115.24371,36.064461,Las Vegas,NV,89113
1045,-122.09568,37.423073,Mountain View,CA,94043
1055,-93.152992,44.83189,Eagan,MN,55123
1016,-114.33124,48.239506,Kalispell,MT,59901
1048,-87.637192,41.56646,Homewood,IL,60430
1050,-82.017853,41.466305,Avon,OH,44011
1049,-84.597,33.397484,Peachtree City,GA,30269
1051,-78.934631,35.907135,Durham,NC,27713
1052,-89.515335,44.522335,Plover,WI,54467
104,-118.36559,33.897167,Hawthorne,CA,90250
1053,-76.725204,39.155998,Hanover,MD,21076
1046,-121.72911,37.963871,Brentwood,CA,94513
1064,-86.509552,36.164974,Mt Juliet,TN,37122
1056,-111.60139,33.384254,Mesa,AZ,85209
1058,-122.43715,45.505295,Gresham,OR,97030
1070,-85.250465,35.148224,Hixson,TN,37343
1061,-121.81196,36.66708,Marina,CA,93933
1063,-101.30759,48.203568,Minot,ND,58701
1066,-87.798416,41.550053,Tinley Park,IL,60477
1076,-117.081023,33.484079,Temecula,CA,92592
1067,-73.152496,41.233082,Trumbull,CT,06611
1077,-110.25728,31.529169,Sierra Vista,AZ,85635
105,-117.537857,34.10677,Rancho Cucamonga,CA,91739
1069,-73.739922,40.626957,Lawrence,NY,11559
1073,-91.321,39.93423,Quincy,IL,62305
1071,-83.853539,34.297371,Gainesville,GA,30501
1072,-95.431725,30.050264,Spring,TX,77388
1086,-78.16511,39.16421,Winchester,VA,22601
1079,-105.09621,40.15467,Longmont,CO,80501
1088,-71.06851,42.39917,Everett,MA,02149
1078,-116.59116,43.611172,Nampa,ID,83687
107,-118.3493,33.805847,Torrance,CA,90505
1081,-98.431946,29.350693,San Antonio,TX,78235
1082,-98.464653,29.611219,San Antonio,TX,78232
1080,-93.225464,30.199205,Lake Charles,LA,70601
1083,-97.947754,30.310236,Bee Cave,TX,78738
1094,-86.230759,39.934792,Carmel,IN,46032
1095,-82.8302,42.67009,Chesterfield,MI,48051
1096,-83.043732,39.879684,Grove City,OH,43123
1097,-85.835876,33.604454,Oxford,AL,36203
106,-118.1447,34.597626,Palmdale,CA,93551
1089,-75.959389,43.97506,Watertown,NY,13601
108,-117.351461,34.471948,Victorville,CA,92392
1091,-73.503448,44.700077,Plattsburgh,NY,12901
1090,-66.16224,18.42217,Bayamon,PR,00961
109,-118.4389,34.035656,Los Angeles,CA,90064
1099,-81.8160406,41.313093,Strongsville,OH,44136
1101,-96.559006,39.181942,Manhattan,KS,66502
1093,-96.025322,41.136444,Papillion,NE,68046
1104,-122.68615,45.61493,Portland,OR,97217
1092,-77.034,38.929,Washington,DC,20010
10,-93.025986,45.036556,Maplewood,MN,55109
1106,-95.039848,45.100941,Willmar,MN,56201
